date,sentiment
2020-01-04,0
2020-01-05,2
2020-01-06,2
2020-01-07,2
2020-01-08,2
2020-01-09,1
2020-01-10,2
2020-01-11,0
2020-01-12,0
2020-01-13,1
2020-01-14,2
2020-01-18,0
2020-01-19,2
2020-01-20,0
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,0
2020-01-30,2
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,2
2020-02-10,0
2020-02-11,2
2020-02-12,2
2020-02-13,0
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,1
2020-02-18,2
2020-02-19,2
2020-02-20,0
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,0
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,0
2020-03-02,2
2020-03-03,2
2020-03-04,0
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,1
2020-03-09,2
2020-03-10,0
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-20,1
2020-03-25,2
2020-03-26,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,0
2020-04-01,2
2020-04-05,2
2020-04-06,2
2020-04-09,2
2020-04-14,0
2020-04-15,0
2020-04-16,2
2020-04-17,1
2020-04-18,1
2020-04-19,0
2020-04-20,2
2020-04-22,2
2020-04-23,2
2020-04-27,0
2020-04-28,1
2020-04-29,2
2020-04-30,0
2020-05-01,2
2020-05-04,2
2020-05-05,2
2020-05-06,1
2020-05-07,2
2020-05-12,2
2020-05-13,2
2020-05-17,2
2020-05-18,1
2020-05-19,0
2020-05-20,1
2020-05-21,2
2020-05-22,2
2020-05-24,2
2020-05-25,2
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,2
2020-06-02,2
2020-06-03,0
2020-06-04,2
2020-06-05,2
2020-06-06,1
2020-06-07,2
2020-06-08,2
2020-06-09,0
2020-06-10,0
2020-06-11,2
2020-06-12,2
2020-06-13,2
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,2
2020-06-18,0
2020-06-19,2
2020-06-20,0
2020-06-21,2
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,0
2020-06-27,2
2020-06-28,0
2020-06-29,2
2020-06-30,2
2020-07-01,2
2020-07-02,1
2020-07-04,2
2020-07-05,2
2020-07-10,2
2020-07-11,2
2020-07-12,2
2020-07-13,2
2020-07-18,2
2020-07-19,2
2020-07-24,2
2020-07-25,2
2020-07-29,0
2020-07-30,0
2020-07-31,1
2020-08-19,2
2020-08-21,0
2020-08-22,2
2020-08-23,2
2020-08-25,2
2020-08-26,2
2020-08-28,0
2020-08-29,2
2020-08-30,2
2020-08-31,2
2020-09-01,2
2020-09-02,2
2020-09-03,2
2020-09-08,2
2020-09-09,2
2020-09-10,2
2020-09-11,2
2020-09-12,2
2020-09-13,2
2020-09-14,2
2020-09-15,2
2020-09-16,2
2020-09-18,0
2020-09-19,2
2020-09-20,2
2020-09-23,2
2020-09-24,2
2020-09-25,2
2020-09-26,2
2020-09-27,2
2020-09-28,2
2020-09-29,2
2020-09-30,2
2020-10-01,2
2020-10-02,1
2020-10-08,2
2020-10-09,1
2020-10-10,2
2020-10-12,2
2020-10-13,2
2020-10-14,2
2020-10-15,0
2020-10-17,2
2020-10-18,2
2020-10-20,2
2020-10-21,2
2020-10-28,0
2020-10-29,2
2020-10-30,2
2020-10-31,0
2020-11-06,2
2020-11-07,2
2020-11-08,2
2020-11-09,2
2020-11-10,2
2020-11-11,1
2020-11-12,0
2020-11-13,2
2020-11-14,0
2020-11-15,2
2020-11-16,2
2020-11-17,0
2020-11-18,0
2020-11-19,2
2020-11-20,2
2020-11-21,2
2020-11-22,2
2020-11-23,2
2020-11-24,0
2020-11-25,2
2020-11-26,2
2020-11-27,2
2020-11-28,2
2020-11-29,2
2020-11-30,2
2020-12-01,2
2020-12-02,2
2020-12-03,2
2020-12-04,1
2020-12-05,2
2020-12-06,2
2020-12-07,0
2020-12-08,2
2020-12-22,0
2020-12-23,2
2020-12-25,2
2020-12-26,0
2020-12-27,0
2020-12-28,2
2020-12-29,1
2020-12-30,2
2020-12-31,2
2021-01-03,0
2021-01-04,2
2021-01-05,0
2021-01-06,0
2021-01-07,2
2021-01-10,0
2021-01-11,2
2021-01-12,1
2021-01-13,0
2021-01-14,2
2021-01-15,2
2021-01-16,0
2021-01-17,0
2021-01-19,2
2021-01-20,0
2021-01-22,2
2021-01-23,0
2021-01-24,0
2021-01-25,2
2021-01-26,0
2021-01-27,0
2021-01-28,2
2021-01-29,0
2021-02-03,2
2021-02-04,2
2021-02-05,2
2021-02-06,2
2021-02-07,2
2021-02-08,2
2021-02-09,2
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,1
2021-02-14,2
2021-02-15,2
2021-02-16,1
2021-02-17,0
2021-02-18,0
2021-02-20,0
2021-03-01,0
2021-03-02,2
2021-03-03,2
2021-03-04,0
2021-03-05,2
2021-03-06,1
2021-03-07,0
2021-03-09,0
2021-03-13,0
2021-03-14,2
2021-03-15,2
2021-03-16,2
2021-03-17,0
2021-03-18,2
2021-03-20,2
2021-03-21,0
2021-03-25,0
2021-03-26,2
2021-03-29,0
2021-03-30,1
2021-03-31,1
2021-04-01,2
2021-04-02,2
2021-04-03,2
2021-04-04,2
2021-04-05,2
2021-04-06,1
2021-04-07,2
2021-04-08,2
2021-04-09,1
2021-04-12,2
2021-04-13,2
2021-04-14,1
2021-04-15,2
2021-04-16,0
2021-04-17,0
2021-04-18,2
2021-04-19,2
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,2
2021-04-25,2
2021-04-26,1
2021-04-27,2
2021-04-28,2
2021-04-29,0
2021-04-30,0
2021-05-01,2
2021-05-02,2
2021-05-03,2
2021-05-04,2
2021-05-05,2
2021-05-06,2
2021-05-07,0
2021-05-08,2
2021-05-09,2
2021-05-10,0
2021-05-11,2
2021-05-13,1
2021-05-14,0
2021-05-15,2
2021-05-16,0
2021-05-17,2
2021-05-18,2
2021-05-19,0
2021-05-20,0
2021-05-22,2
2021-05-23,0
2021-05-24,2
2021-05-25,2
2021-05-26,2
2021-05-27,2
2021-05-28,2
2021-05-29,2
2021-05-31,0
